2017 04 12,JSC Grindeks (ISIN LV0000100659),58,"307,40 €","2,00 €","253,30 €"
2017 04 12,JSC Grindeks (ISIN LV0000100659),48,"255,36 €","0,64 €","209,62 €"
2017 04 12,JSC Grindeks (ISIN LV0000100659),150,"798,00 €","1,99 €","655,08 €"
2017 04 12,JSC SAF Tehnika (ISIN LV0000101129),150,"607,50 €","2,00 €","551,29 €"
2017 04 12,Silvano Fashion Group (ISIN EE3100001751),87,"249,69 €","2,00 €","252,06 €"
2017 04 12,JSC SAF Tehnika (ISIN LV0000101129),150,"607,50 €","1,04 €","551,88 €"
2017 04 13,Silvano Fashion Group (ISIN EE3100001751),573,"1.644,51 €","2,74 €","1.666,05 €"
2017 04 13,Silvano Fashion Group (ISIN EE3100001751),150,"430,50 €","1,07 €","435,85 €"
2017 04 13,JSC SAF Tehnika (ISIN LV0000101129),150,"609,00 €","1,52 €","573,33 €"
2017 04 13,JSC SAF Tehnika (ISIN LV0000101129),89,"361,34 €","0,90 €","339,05 €"
2017 04 13,JSC SAF Tehnika (ISIN LV0000101129),850,"3.451,00 €","8,63 €","3.139,16 €"
2017 04 18,JSC SAF Tehnika (ISIN LV0000101129),480,"1.948,80 €","4,87 €","1.820,74 €"
2017 04 18,JSC SAF Tehnika (ISIN LV0000101129),1,"4,06 €","0,01 €","3,76 €"
2017 04 18,JSC SAF Tehnika (ISIN LV0000101129),596,"2.413,80 €","6,03 €","2.249,23 €"
2017 04 18,JSC SAF Tehnika (ISIN LV0000101129),1000,"4.050,00 €","10,13 €","3.852,38 €"
2017 04 18,JSC Grindeks (ISIN LV0000100659),150,"781,50 €","2,00 €","690,23 €"
2017 04 18,JSC Olainfarm (ISIN LV0000100501),263,"2.564,25 €","6,41 €","2.346,55 €"
2017 04 18,JSC Olainfarm (ISIN LV0000100501),100,"975,00 €","2,44 €","892,23 €"
2017 04 18,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",1542,"1.005,38 €","0,76 €","993,14 €"
2017 04 18,"AB ,,Linas Agro Group"" PVA (ISIN LT0000128092)",150,"97,80 €","2,00 €","99,02 €"
2017 04 19,Silvano Fashion Group (ISIN EE3100001751),450,"1.291,50 €","2,31 €","1.046,07 €"
2017 04 19,JSC Grindeks (ISIN LV0000100659),20,"104,20 €","0,21 €","92,82 €"
2017 04 19,JSC Grindeks (ISIN LV0000100659),170,"885,70 €","2,22 €","787,33 €"
2017 04 19,JSC Grindeks (ISIN LV0000100659),130,"677,30 €","1,69 €","601,84 €"
2017 04 19,JSC Grindeks (ISIN LV0000100659),130,"677,30 €","1,70 €","601,84 €"
2017 04 19,Silvano Fashion Group (ISIN EE3100001751),150,"430,50 €","2,00 €","435,85 €"
2017 04 24,JSC Valmieras stikla skiedra (ISIN LV0000100485),281,"902,01 €","2,26 €","877,74 €"
2017 04 24,JSC Valmieras stikla skiedra (ISIN LV0000100485),150,"481,50 €","1,20 €","471,64 €"
2017 04 24,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",1300,"1.885,00 €","3,80 €","1.522,53 €"
2017 04 24,JSC Grindeks (ISIN LV0000100659),130,"691,60 €","1,73 €","600,42 €"
2017 04 24,JSC Grindeks (ISIN LV0000100659),100,"539,00 €","2,00 €","461,15 €"
2017 04 24,JSC Valmieras stikla skiedra (ISIN LV0000100485),350,"1.123,50 €","2,81 €","1.097,69 €"
2017 04 24,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",150,"217,50 €","0,00 €","163,94 €"
2017 04 24,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",150,"217,50 €","2,00 €","163,94 €"
2017 04 24,JSC SAF Tehnika (ISIN LV0000101129),175,"703,50 €","2,00 €","675,23 €"
2017 04 24,JSC Valmieras stikla skiedra (ISIN LV0000100485),45,"144,45 €","0,36 €","141,20 €"
2017 04 24,JSC Grindeks (ISIN LV0000100659),800,"4.312,00 €","10,13 €","3.686,19 €"
2017 04 25,Silvano Fashion Group (ISIN EE3100001751),100,"285,00 €","0,71 €","274,00 €"
2017 04 25,Silvano Fashion Group (ISIN EE3100001751),150,"427,50 €","2,00 €","411,00 €"
2017 04 25,Silvano Fashion Group (ISIN EE3100001751),150,"427,50 €","0,14 €","411,00 €"
2017 04 25,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",250,"362,50 €","0,91 €","300,40 €"
2017 04 25,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",150,"217,50 €","0,54 €","180,24 €"
2017 04 26,JSC SAF Tehnika (ISIN LV0000101129),748,"3.006,96 €","7,28 €","2.873,39 €"
2017 04 26,JSC Valmieras stikla skiedra (ISIN LV0000100485),50,"168,50 €","0,42 €","155,39 €"
2017 04 26,JSC Valmieras stikla skiedra (ISIN LV0000100485),500,"1.685,00 €","4,21 €","1.553,87 €"
2017 04 26,JSC Valmieras stikla skiedra (ISIN LV0000100485),250,"837,50 €","2,09 €","779,07 €"
2017 04 26,JSC Valmieras stikla skiedra (ISIN LV0000100485),327,"1.111,80 €","2,78 €","1.020,22 €"
2017 04 26,JSC Valmieras stikla skiedra (ISIN LV0000100485),150,"502,50 €","1,26 €","470,31 €"
2017 04 26,JSC Valmieras stikla skiedra (ISIN LV0000100485),750,"2.512,50 €","6,28 €","2.353,83 €"
2017 04 27,JSC SAF Tehnika (ISIN LV0000101129),800,"3.216,00 €","7,55 €","3.143,48 €"
2017 04 27,JSC SAF Tehnika (ISIN LV0000101129),50,"201,00 €","0,00 €","196,67 €"
2017 04 27,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",500,"765,00 €","2,00 €","617,49 €"
2017 04 27,"AB ,,Žemaitijos pienas"" PVA (ISIN LT0000121865)",618,"945,54 €","2,28 €","768,23 €"
2017 04 27,JSC SAF Tehnika (ISIN LV0000101129),50,"201,00 €","0,50 €","196,49 €"
2017 04 27,JSC SAF Tehnika (ISIN LV0000101129),100,"402,00 €","2,00 €","388,15 €"
2017 04 28,JSC Grindeks (ISIN LV0000100659),10,"59,50 €","2,00 €","57,44 €"
2017 04 28,JSC Grindeks (ISIN LV0000100659),40,"238,00 €","0,00 €","229,77 €"
2017 05 02,JSC Grindeks (ISIN LV0000100659),100,"595,00 €","1,49 €","568,42 €"
2017 05 02,JSC Grindeks (ISIN LV0000100659),50,"297,50 €","0,74 €","284,21 €"
2017 05 02,JSC Valmieras stikla skiedra (ISIN LV0000100485),110,"368,50 €","2,00 €","341,85 €"
2017 05 02,JSC Grindeks (ISIN LV0000100659),100,"595,00 €","0,23 €","574,43 €"
2017 05 08,JSC Valmieras stikla skiedra (ISIN LV0000100485),110,"368,50 €","0,92 €","337,44 €"
2017 05 08,JSC Valmieras stikla skiedra (ISIN LV0000100485),623,"2.055,90 €","5,14 €","1.941,94 €"
2017 05 08,JSC Valmieras stikla skiedra (ISIN LV0000100485),150,"495,00 €","0,06 €","466,17 €"
